Contexte Gauche	Mot Cible	Contexte Droit
+ 1.1 Preventive 	lockdown	
+ 1.2 Emergency 	lockdown	
* 3 Newsworthy 	lockdowns	
	lockdowns	. For the practice of isolating prisoners, see Solitary
A 	lockdown	 (/ËlÉkËdaÊn/ ^â) is a restriction policy for people,
A 	lockdown	 can also be used to protect people inside a facility or, for
[250px-Zone_wise_	lockdown	_in_new_Bhopal_2.jpg] Street barricades that
Preventive 	lockdown	
A preventive 	lockdown	 is a preemptive action plan implemented to
Preventive lockdowns are preemptive 	lockdowns	 to mitigate risk. Most
organisations plan for the emergency 	lockdowns	 but fail to plan for
implement a more limited 	lockdown	 while teaching in school continues,
thus eliminating need for complete emergency 	lockdown	, disruption and
procedures to implement such 	lockdowns	 is that the situation might
Emergency 	lockdown	
Emergency 	lockdowns	 are implemented when there is imminent threat to
emergency 	lockdown	 procedures must be kept short and simple to make
can be easily taught with periodic 	lockdown	 drills instead of lengthy
Both preventative and emergency 	lockdowns	 can be adopted for similar
A 	lockdown	 was implemented in Mexico from April 30 to May 5, 2009 in
Main article: COVID-19 	lockdowns	
During the COVID-19 pandemic, the term 	lockdown	 was used for actions
	lockdown	 during the pandemic was implemented in Wuhan on January 23,
some form of 	lockdown	âmore than half the world's population.^[8]^[9] By
late April, around 300 million people were under 	lockdown	 in European
countries, while around 200 million people were under 	lockdown	 in Latin
population, were under some form of 	lockdown	 in the United States,^[11]
and 1.3 billion people have been under 	lockdown	 in India.^[12]
The 	lockdown	 in the Philippines started on 14 March 2020 and is one of
the longest and strictest 	lockdowns	 with varying levels of community
Similarly the 	lockdown	 in South Africa started on 27 March 2020^[15]
	lockdowns	 in the world with cigarettes and alcohol banned
Lockdown procedures vary by site and country. Generally, a 	lockdown	
staff must remain in their location from the time the 	lockdown	 is
attacks, 	lockdown	 procedures in schools have been changing. Some
In prisons, the term 	lockdown	 can be defined as a course of action to
"	lockdown	 period" in a corrections schedule.^[citation needed] However
a "full 	lockdown	" is used when all prisoners are locked in their cells
In manufacturing, the term 	lockdown	 event refers to a continuous
	lockdown	 event a multi-disciplinary team reviews the specific area's
	lockdown	 is lifted and production is resumed. Follow-up sampling is
conducted subsequently to ensure continuity of the 	lockdown	 results.
Newsworthy 	lockdowns	
In the wake of the September 11 attacks (2001), a three-day 	lockdown	 of
issued a 	lockdown	 order on one of the buildings on campus for six
contacted and the 	lockdown	 lasted for more than two hours. New
Team (ERT) was called, and the school was under 	lockdown	 until
In August 2019, the Indian government imposed a 	lockdown	 on Jammu and
by communications and media blackout, claiming that the 	lockdown	 was to
According to Merriam-Webster, the first known use of 	lockdown	 occurred
contains the first reference to 	lockdown	.
gunman prompted few calls for a 	lockdown	 of the Capitol."
Elsa Brenner: "Dr. Hornsby declared a 	lockdown	 in the city's
resulted in one '	lockdown	' in the past year. On Oct. 26, parents
say, a 	lockdown	 was declared at another school, Mandalay
By Frances X. Clines: "the Senate went into 	lockdown	 with
massive security 	lockdown	' at all Yonkers schools. ...All but
termed a '	lockdown	' drill in which students and teachers,
1. ^ "Capitalist 	lockdown	 is bad. Capitalist reopening is worse | Red
6. ^ Resnick, Brian (10 March 2020). "Italy and China used 	lockdowns	
"Wuhan 	lockdown	: A year of China's fight against the Covid
8. ^ "Coronavirus: Half of humanity now on 	lockdown	 as 90 countries
	lockdown	âhere's our constantly updated list of countries and
map shows which cities and states are under 	lockdown	". Business
