Contexte Gauche	Mot Cible	Contexte Droit
Cet article concerne le 	confinement	 des populations. Pour le
	confinement	 dans les laboratoires biologiques, voir Confinement
le 	confinement	 de 2020 en Espagne.
Le 	confinement	 est une stratégie de réduction des risques sanitaires
	confinement	 sanitaire est parfois utilisé en cas d'épidémie de maladie
de 	confinement	, définies au niveau international, national et local
À la fin de la période du confinement s'ouvre celle du dé	confinement	,
	confinement	 est alors réservé à des mesures qui touchent
n'emploie, dans un premier temps, ni le mot « 	confinement	 » ni le mot
mot 	confinement	 ne leur est pas adapté^[9].
L'objectif majeur poursuivi par une mesure de 	confinement	 est de
trois stratégies de 	confinement	^[12]^,^[13] :
domicile, appelé aussi auto-	confinement	 ; isolement collectif qui
	confinement	^[14]) ;
(parfois le terme est employé pour désigner le 	confinement	 de
	confinement	 d'individus ou de groupes en bonne santé
(auto-	confinement	 de la population) qui ont été potentiellement
exposés à un agent en cas de flambée épidémique^[15] (	confinement	
local, autour des foyers d'infection, ou 	confinement	 général ;
confinement partiel ou 	confinement	 total^[16]).
Au-delà des effets sanitaires recherchés, le 	confinement	 peut avoir des
Selon Stéphane Gayet, infectiologue, les 	confinements	 de 2020 liés à la
émotionnel. Le 	confinement	 à domicile COVID-19 a eu un effet
10 Comment a été vécu le 	confinement	 ? Quelles ont été les conséquences
Comment a été vécu le 	confinement	 ? Quelles ont été les conséquences
Le 16 mars 2020, Emmanuel Macron déclenchait le 	confinement	. Au niveau
matérielles et sociales du 	confinement	 ?
Le 16 mars 2020, Emmanuel Macron décrète le 	confinement	.
kilomètre. Le 	confinement	 sera prolongé jusqu'au 15 avril puis jusqu'au
dans le temps les conséquences du 	confinement	 sur la vie quotidienne
Le 	confinement	 révélateur d'inégalités
millions de personnes. Et un adulte sur 10 a passé le 	confinement	 dans
Et pendant le premier 	confinement	, « 38 0es adultes se sont sentis
normal. » (...) "Et la veille du dé	confinement	, début mai, on avait un
Face à ce 	confinement	, les Français ne sont pas restés passifs, comme
	confinement	, certains Français se sont déplacés ou regroupés, une
Pendant le premier 	confinement	, les autorités avaient mis en place une
Mais a-t-on eu des baisses de revenus pendant le 	confinement	 ? Comme le
financières pendant le 	confinement	. »
L'impact du 	confinement	 sur les relations au sein de la sphère familiale
ses relations avec ses enfants pendant le 	confinement	, les pères aussi
pendant le premier 	confinement	. Et le point important, c'est que pour
	confinement	. »
* Comment a été vécu le 	confinement	 ? Quelles ont été les4. Les effets négatifs du premier 	confinement	 sur l'hygiène de vie des
Les effets négatifs du premier 	confinement	 sur l'hygiène de vie des Français
le 	confinement	 que nous avons vécu au printemps a induit des
