Contexte Gauche	Mot Cible	Contexte Droit
* 3 Table of pandemic 	lockdown	s
COVID-19 	lockdown	s
"The 	lockdown	s" redirects here. For the general topic, see Lockdown.
Malaysia and Singapore, became empty during the 	lockdown	s.
testing of Jordan residents during a localised 	lockdown	.
measures and supply shortages during the 	lockdown	
during the pandemic 	lockdown	 in South Africa.
non-pharmaceutical interventions, particularly 	lockdown	s (encompassing
world's population was under some form of 	lockdown	, with more than
In addition to the health effects of 	lockdown	 restrictions,^[3]
researchers had found the 	lockdown	s may have reduced crime and violence
terrorist groups.^[4] In addition, 	lockdown	s had increased the uptake
concluded that 	lockdown	s were somewhat effective at reducing the spread
strongest 	lockdown	s.^[21] Modelling on the United States pandemic
from significantly taking off if the 	lockdown	 measures were implemented
had the 	lockdown	 lasted another two weeks.^[16]
The stringent 	lockdown	 in Hubei in early 2020 proved effective at
	lockdown	s, is thought to be at least partly attributable to this
transmission through a strict 	lockdown	 lowers healthcare and economic
adopted in Australia, and a strict four-month 	lockdown	 in the state of
included targeted 	lockdown	s.^[31]^[32] A natural experiment study finds
that the partial 	lockdown	 in Kyrgyzstan (with curfews) was just as
effective as the full 	lockdown	 in Kazakhstan (with many business
2021 led some commentators to suggest that although 	lockdown	s continue
outbreaks proved less effective at containment than previous 	lockdown	s
involuntary 	lockdown	s had little impact, with voluntary distancing
transmission occurred during a strict national 	lockdown	, and that
	lockdown	s.^[54] This includes an Imperial College projection, led by
	lockdown	s and computer modeling has verified that they have
A notable opponent of 	lockdown	s has included Sweden's state
However, the Swedish government began considering enacting a 	lockdown	
While arguing in August 2020 for the need for further 	lockdown	s in the
"smarter 	lockdown	s" that impose restrictions on areas with high levels
The 	lockdown	s had multiple effects on people's everyday lives. Some of
and meta-analyses indicate that the COVID-19 	lockdown	s were associated
that quarantine and 	lockdown	 measures were frequently associated with
'	lockdown	' at home with their abusers at the same time that services to
against women since the 	lockdown	 in March 2020.^[85]
the 	lockdown	 response when he discussed the lack of weight that public
health authorities had given to the potential downsides of the 	lockdown	
[250px-Open_Ohio_Rally_IMG_0910_%2849799974031%29.jpg] An anti-	lockdown	
presence in Melbourne at an anti-	lockdown	 protest
contraction.^[89] They agreed that 	lockdown	s should continue until the
economic circles, that "severe 	lockdown	s â including closing
(WHO) have published statements noting the impact of the 	lockdown	s on
COVID-19 stated in October 2020 that "	lockdown	s just have one
	lockdown	s, including in the United Kingdom, the United States,
spurred by the economic and social impacts of 	lockdown	s, but have also
Table of pandemic 	lockdown	s
COVID-19 pandemic 	lockdown	s
Country / territory Place First lockdown Second lockdown Third 	lockdown	
Fourth lockdown Fifth lockdown Sixth lockdown Seventh 	lockdown	 Eighth
	lockdown	 Total length (days) Level
	lockdown	 began from 28 January.
internationally considered a "	lockdown	".
2. ^ ^a ^b Stage 3 lockdown imposed on 8 July; Stage 4 	lockdown	
3. ^ End-date of 	lockdown	 is subject to the vaccine rollout.
4. ^ End-date of 	lockdown	 is subject to the vaccine rollout.
6. ^ End-date of 	lockdown	 is subject to the vaccine rollout or 0 cases
7. ^ End-date of 	lockdown	 is subject to the vaccine rollout or 0 cases
8. ^ End-date of 	lockdown	 is subject to the vaccine rollout or 0 cases
9. ^ End-date of 	lockdown	 is subject to the vaccine rollout or 0 cases
10. ^ End-date of 	lockdown	 is subject to the vaccine rollout or 0 cases
11. ^ End-date of 	lockdown	 is subject to the vaccine rollout or 0 cases
12. ^ End-date of 	lockdown	 is subject to the vaccine rollout or 0 cases
13. ^ End-date of 	lockdown	 is subject to the vaccine rollout or 0 cases
14. ^ End-date of 	lockdown	 is subject to the vaccine rollout or 0 cases
17. ^ End-date of 	lockdown	 is subject to the vaccine rollout or 0 cases
18. ^ End-date of 	lockdown	 is subject to the vaccine rollout or 0 cases
19. ^ End-date of 	lockdown	 is subject to the vaccine rollout or 0 cases
20. ^ End-date of 	lockdown	 is subject to the vaccine rollout or 0 cases
	lockdown	 measures were already eased or lifted in April^[221] and
23. ^ Depending on the strictness of the definition for a 	lockdown	;
"soft" or "partial" 	lockdown	 and officially entered into force at
25. ^ The 	lockdown	 was initially to end on 21 December 2020, but was
29. ^ A full third 	lockdown	 was declared from 30 December and was
31. ^ The 	lockdown	 was suspended on 28, 29, 30 December 2020 and 4
effectively enforced countrywide. On 14 April the 	lockdown	 was
8 March 2021. Most 	lockdown	 restrictions were lifted between March
as the "end" of 	lockdown	, March 28 was the date in which the "stay
accepted definition of what constitutes a 	lockdown	.
41. ^ Most 	lockdown	 restrictions were lifted between March and June.
what constitutes a 	lockdown	.
In the table, pandemic 	lockdown	s are defined as the shutdown of parts
worldwide were under some form of 	lockdown	,^[534] which increased to
population, were under some form of 	lockdown	 in the United
under 	lockdown	 in India, which was the largest of all
	lockdown	s.^[543]^[544]
By the end of April, around 300 million people were under 	lockdown	 in
