token	corpus size	all contexts size	frequency	co-frequency	specificity
le	14303	1646	272	92	22.21
durant	14303	1646	13	13	12.23
pendant	14303	1646	32	19	10.02
pénible	14303	1646	22	14	8.08
du	14303	1646	106	33	7.45
perception	14303	1646	12	8	5.04
a	14303	1646	58	19	4.96
jugent	14303	1646	5	5	4.70
vie	14303	1646	52	17	4.50
selon	14303	1646	25	11	4.43
période	14303	1646	18	9	4.25
vécu	14303	1646	6	5	3.97
premier	14303	1646	12	7	3.94
sortie	14303	1646	4	4	3.76
les	14303	1646	283	52	3.73
français	14303	1646	22	9	3.45
de	14303	1646	597	93	3.35
niveau	14303	1646	37	12	3.34
financière	14303	1646	11	6	3.24
mars	14303	1646	19	8	3.22
chronique	14303	1646	5	4	3.11
alors	14303	1646	8	5	3.11
pas	14303	1646	29	10	3.10
l’hygiène	14303	1646	3	3	2.82
échelle	14303	1646	3	3	2.82
difficultés	14303	1646	9	5	2.81
périodes	14303	1646	13	6	2.77
quoi	14303	1646	6	4	2.69
conditions	14303	1646	10	5	2.56
dégradée	14303	1646	10	5	2.56
temps	14303	1646	15	6	2.41
eu	14303	1646	11	5	2.35
19	14303	1646	37	10	2.29
celle	14303	1646	4	3	2.27
inégalités	14303	1646	4	3	2.27
lié	14303	1646	4	3	2.27
situation	14303	1646	16	6	2.26
2020	14303	1646	33	9	2.14
sanitaire	14303	1646	8	4	2.12
avril	14303	1646	8	4	2.12
suivi	14303	1646	8	4	2.12
7	14303	1646	8	4	2.12
c’est	14303	1646	13	5	2.01
à	14303	1646	146	25	1.94
certains	14303	1646	5	3	1.92
utile	14303	1646	5	3	1.92
dernier	14303	1646	5	3	1.92
11	14303	1646	9	4	1.92
conséquences	14303	1646	9	4	1.92
été	14303	1646	36	9	1.91
est	14303	1646	55	12	1.91
que	14303	1646	49	11	1.89
l’impatience	14303	1646	2	2	1.88
monte	14303	1646	2	2	1.88
commencent	14303	1646	2	2	1.88
s’interroger	14303	1646	2	2	1.88
revient	14303	1646	2	2	1.88
