token	corpus size	all contexts size	frequency	co-frequency	specificity
during	225417	15330	340	117	49.83
period	225417	15330	131	70	45.50
pre	225417	15330	73	44	32.00
browser	225417	15330	34	30	30.49
lockdown	225417	15330	960	163	26.35
extends	225417	15330	31	25	23.51
covid	225417	15330	1197	176	21.27
^b	225417	15330	190	50	16.30
procedure	225417	15330	26	18	15.07
rollout	225417	15330	18	15	14.69
procedures	225417	15330	43	22	14.31
^a	225417	15330	190	47	14.27
imposed	225417	15330	35	19	13.07
measures	225417	15330	197	46	13.01
19	225417	15330	1111	140	11.91
in	225417	15330	4246	405	11.65
respondus	225417	15330	15	12	11.44
were	225417	15330	434	71	11.32
imposes	225417	15330	16	12	10.87
strict	225417	15330	27	15	10.64
nationwide	225417	15330	37	17	10.26
week	225417	15330	65	22	9.92
compared	225417	15330	50	19	9.65
date	225417	15330	50	19	9.65
soft	225417	15330	10	9	9.54
coronavirus	225417	15330	341	56	9.20
enters	225417	15330	17	11	8.93
was	225417	15330	675	89	8.90
extended	225417	15330	45	17	8.66
announces	225417	15330	22	12	8.51
until	225417	15330	70	21	8.43
lifted	225417	15330	23	12	8.22
plan	225417	15330	43	16	8.08
day	225417	15330	139	30	7.96
end	225417	15330	102	25	7.92
school	225417	15330	224	40	7.85
full	225417	15330	45	16	7.76
till	225417	15330	10	8	7.75
subject	225417	15330	40	15	7.67
aod	225417	15330	70	20	7.67
implemented	225417	15330	31	13	7.41
under	225417	15330	127	27	7.11
first	225417	15330	195	35	7.04
[edccb014e8bd3e1bd0b95d2e4b5ea0af10	225417	15330	6	6	7.01
006	225417	15330	6	6	7.01
impose	225417	15330	15	9	6.99
/update	225417	15330	12	8	6.77
enter	225417	15330	36	13	6.52
zone	225417	15330	13	8	6.38
definition	225417	15330	17	9	6.37
asia	225417	15330	99	22	6.28
aq	225417	15330	27	11	6.22
eases	225417	15330	7	6	6.19
to	225417	15330	4855	412	6.19
experiment	225417	15330	10	7	6.19
as	225417	15330	1163	122	6.15
no[2]	225417	15330	45	14	6.07
china	225417	15330	217	35	5.93
the	225417	15330	8508	680	5.88
a	225417	15330	3370	296	5.86
forced	225417	15330	29	11	5.85
over	225417	15330	316	45	5.85
studymate	225417	15330	5	5	5.84
victoria	225417	15330	15	8	5.75
when	225417	15330	232	36	5.69
cases	225417	15330	321	45	5.68
snap	225417	15330	8	6	5.62
giant	225417	15330	8	6	5.62
alert	225417	15330	31	11	5.53
orders	225417	15330	57	15	5.45
table	225417	15330	38	12	5.37
regional	225417	15330	65	16	5.37
after	225417	15330	202	32	5.34
restrictions"	225417	15330	17	8	5.23
phases	225417	15330	9	6	5.17
"victoria	225417	15330	9	6	5.17
system	225417	15330	83	18	5.13
"bangladesh	225417	15330	6	5	5.09
mean	225417	15330	69	16	5.02
began	225417	15330	41	12	5.00
staff	225417	15330	93	19	4.99
phase	225417	15330	14	7	4.85
comparison	225417	15330	24	9	4.85
entered	225417	15330	10	6	4.81
seven	225417	15330	10	6	4.81
mitigation	225417	15330	65	15	4.73
immediate	225417	15330	25	9	4.69
three	225417	15330	58	14	4.69
weeks"	225417	15330	4	4	4.67
"greece	225417	15330	4	4	4.67
friday"	225417	15330	4	4	4.67
marjory	225417	15330	4	4	4.67
stoneman	225417	15330	4	4	4.67
chapters	225417	15330	4	4	4.67
whenever	225417	15330	4	4	4.67
did	225417	15330	66	15	4.64
exams	225417	15330	7	5	4.58
south	225417	15330	172	27	4.57
restrictions	225417	15330	144	24	4.57
billion	225417	15330	32	10	4.54
confinement	225417	15330	11	6	4.49
ofsted	225417	15330	11	6	4.49
emergency	225417	15330	214	31	4.46
into	225417	15330	185	28	4.43
periods	225417	15330	16	7	4.39
"coronavirus	225417	15330	86	17	4.36
schools	225417	15330	170	26	4.25
[edit]	225417	15330	72	15	4.19
cummings	225417	15330	17	7	4.19
curfews	225417	15330	8	5	4.18
days"	225417	15330	8	5	4.18
<div>_____________________________________________________	225417	15330	8	5	4.18
despite	225417	15330	29	9	4.12
co	225417	15330	117	20	4.09
^d	225417	15330	36	10	4.07
findings	225417	15330	18	7	4.01
effect	225417	15330	51	12	4.00
"austria	225417	15330	5	4	4.00
surges"	225417	15330	5	4	4.00
macau	225417	15330	5	4	4.00
25^th	225417	15330	5	4	4.00
newsom	225417	15330	5	4	4.00
place	225417	15330	75	15	3.99
updated	225417	15330	13	6	3.98
partial	225417	15330	13	6	3.98
^h	225417	15330	13	6	3.98
country	225417	15330	159	24	3.90
should	225417	15330	131	21	3.86
why	225417	15330	38	10	3.86
johnson	225417	15330	25	8	3.83
two	225417	15330	142	22	3.80
hundreds	225417	15330	14	6	3.77
triggered	225417	15330	10	5	3.59
^g	225417	15330	15	6	3.58
lift	225417	15330	6	4	3.56
measure	225417	15330	34	9	3.55
quickly	225417	15330	34	9	3.55
^c	225417	15330	57	12	3.54
confinement"	225417	15330	3	3	3.50
tragedy"	225417	15330	3	3	3.50
fits	225417	15330	3	3	3.50
"regional	225417	15330	3	3	3.50
grow"	225417	15330	3	3	3.50
"mildura	225417	15330	3	3	3.50
exit"	225417	15330	3	3	3.50
midnight"	225417	15330	3	3	3.50
midnight	225417	15330	3	3	3.50
15"	225417	15330	3	3	3.50
"muscat	225417	15330	3	3	3.50
"philippines	225417	15330	3	3	3.50
"poland	225417	15330	3	3	3.50
"moscow	225417	15330	3	3	3.50
`eternal	225417	15330	3	3	3.50
regroup	225417	15330	3	3	3.50
learnings	225417	15330	3	3	3.50
25th	225417	15330	3	3	3.50
30th	225417	15330	3	3	3.50
lockÂ·&#8203	225417	15330	3	3	3.50
ËlÃ¤k	225417	15330	3	3	3.50
ËdauÌn	225417	15330	3	3	3.50
pronounce	225417	15330	3	3	3.50
impact	225417	15330	181	25	3.46
situations	225417	15330	16	6	3.41
curfew	225417	15330	16	6	3.41
alarm	225417	15330	22	7	3.40
no2	225417	15330	11	5	3.36
campus	225417	15330	23	7	3.27
goes	225417	15330	23	7	3.27
term	225417	15330	97	16	3.26
allows	225417	15330	17	6	3.25
guidelines	225417	15330	17	6	3.25
previous	225417	15330	17	6	3.25
call	225417	15330	30	8	3.25
avoided	225417	15330	7	4	3.22
comparing	225417	15330	7	4	3.22
activated	225417	15330	7	4	3.22
lifts	225417	15330	7	4	3.22
10"	225417	15330	7	4	3.22
douglas	225417	15330	7	4	3.22
at	225417	15330	695	68	3.18
air	225417	15330	138	20	3.18
provides	225417	15330	24	7	3.15
curve	225417	15330	24	7	3.15
stringent	225417	15330	12	5	3.15
^f	225417	15330	18	6	3.10
officials	225417	15330	47	10	3.09
great	225417	15330	64	12	3.08
announced	225417	15330	32	8	3.05
response	225417	15330	173	23	3.04
slow	225417	15330	25	7	3.04
residents	225417	15330	25	7	3.04
for	225417	15330	1939	162	3.00
reduction	225417	15330	57	11	2.98
quality	225417	15330	113	17	2.98
6%	225417	15330	13	5	2.97
kavre	225417	15330	13	5	2.97
effective	225417	15330	66	12	2.97
examples	225417	15330	19	6	2.97
