token	corpus size	all contexts size	frequency	co-frequency	specificity
lockdown	241909	11018	977	172	51.40
during the	241909	11018	203	57	28.34
the pre	241909	11018	36	23	21.76
^a ^b	241909	11018	214	49	20.29
^ end	241909	11018	15	15	20.13
for 14	241909	11018	15	14	17.63
rollout or	241909	11018	13	13	17.44
or 0	241909	11018	13	13	17.44
0 cases	241909	11018	13	13	17.44
cases for	241909	11018	13	13	17.44
^ ^a	241909	11018	214	45	17.19
is subject	241909	11018	19	15	16.62
vaccine rollout	241909	11018	19	15	16.62
and co	241909	11018	39	20	16.38
end date	241909	11018	23	16	16.22
date of	241909	11018	20	15	16.04
period compared	241909	11018	13	12	15.01
the vaccine	241909	11018	24	15	14.19
were under	241909	11018	12	11	13.70
south asia	241909	11018	30	16	13.59
three day	241909	11018	10	10	13.42
compared to	241909	11018	41	18	13.31
subject to	241909	11018	33	15	11.48
air quality	241909	11018	41	15	9.85
* respondus	241909	11018	7	7	9.39
in place	241909	11018	38	14	9.29
as covid	241909	11018	17	10	9.27
to enter	241909	11018	17	10	9.27
over south	241909	11018	10	8	9.12
under some	241909	11018	8	7	8.51
and during	241909	11018	8	7	8.51
levels during	241909	11018	6	6	8.05
[edccb014e8bd3e1bd0b95d2e4b5ea0af10 covid	241909	11018	6	6	8.05
10 006	241909	11018	6	6	8.05
covid 19	241909	11018	1067	90	7.87
aod no[2]	241909	11018	17	9	7.85
goes into	241909	11018	7	6	7.22
to pre	241909	11018	7	6	7.22
a soft	241909	11018	5	5	6.71
respectively during	241909	11018	5	5	6.71
respondus 4	241909	11018	5	5	6.71
studymate campus	241909	11018	5	5	6.71
go into	241909	11018	8	6	6.64
a school	241909	11018	22	9	6.64
to impose	241909	11018	12	7	6.59
call for	241909	11018	13	7	6.28
06 10	241909	11018	9	6	6.19
during a	241909	11018	32	10	6.05
some form	241909	11018	14	7	6.00
was on	241909	11018	6	5	5.95
extends coronavirus	241909	11018	6	5	5.95
respondus monitor	241909	11018	6	5	5.95
alert system	241909	11018	10	6	5.81
when there	241909	11018	10	6	5.81
definition of	241909	11018	10	6	5.81
people were	241909	11018	21	8	5.69
to end	241909	11018	11	6	5.49
on air	241909	11018	11	6	5.49
to may	241909	11018	7	5	5.43
extended by	241909	11018	7	5	5.43
period was	241909	11018	7	5	5.43
confinement of	241909	11018	4	4	5.37
"coronavirus half	241909	11018	4	4	5.37
humanity now	241909	11018	4	4	5.37
as 90	241909	11018	4	4	5.37
countries call	241909	11018	4	4	5.37
marjory stoneman	241909	11018	4	4	5.37
stoneman douglas	241909	11018	4	4	5.37
douglas high	241909	11018	4	4	5.37
seven days"	241909	11018	4	4	5.37
^ "austria	241909	11018	4	4	5.37
19 forced	241909	11018	4	4	5.37
period 25	241909	11018	4	4	5.37
asia during	241909	11018	4	4	5.37
pre and	241909	11018	4	4	5.37
in india	241909	11018	30	9	5.34
2020 www	241909	11018	17	7	5.31
and staff	241909	11018	12	6	5.21
^c ^d	241909	11018	39	10	5.20
measures were	241909	11018	8	5	5.02
and kavre	241909	11018	8	5	5.02
^g ^h	241909	11018	13	6	4.96
comparison of	241909	11018	13	6	4.96
^b ^c	241909	11018	61	12	4.85
^ "coronavirus	241909	11018	62	12	4.78
march and	241909	11018	14	6	4.73
no[2] and	241909	11018	14	6	4.73
of humanity	241909	11018	9	5	4.69
aod no2	241909	11018	9	5	4.69
cities in	241909	11018	5	4	4.69
the confinement	241909	11018	5	4	4.69
of prisoners	241909	11018	5	4	4.69
to lift	241909	11018	5	4	4.69
^ "bangladesh	241909	11018	5	4	4.69
till may	241909	11018	5	4	4.69
previous years	241909	11018	5	4	4.69
co during	241909	11018	5	4	4.69
is a	241909	11018	143	19	4.68
* statistics	241909	11018	15	6	4.53
^f ^g	241909	11018	15	6	4.53
to the	241909	11018	419	38	4.52
form of	241909	11018	23	7	4.33
a clear	241909	11018	6	4	4.23
now on	241909	11018	6	4	4.23
90 countries	241909	11018	6	4	4.23
strategies for	241909	11018	6	4	4.23
until may	241909	11018	6	4	4.23
started in	241909	11018	6	4	4.23
from may	241909	11018	6	4	4.23
no[2] so[2]	241909	11018	6	4	4.23
co for	241909	11018	6	4	4.23
kathmandu ratnapark	241909	11018	6	4	4.23
the great	241909	11018	17	6	4.18
green button	241909	11018	17	6	4.18
in schools	241909	11018	11	5	4.16
china and	241909	11018	11	5	4.16
^b "covid	241909	11018	11	5	4.16
newsom in	241909	11018	3	3	4.02
+ respirator	241909	11018	3	3	4.02
diplomacy mainland	241909	11018	3	3	4.02
+ detail	241909	11018	3	3	4.02
detail *	241909	11018	3	3	4.02
* beijing	241909	11018	3	3	4.02
beijing +	241909	11018	3	3	4.02
2022 winter	241909	11018	3	3	4.02
lanka india	241909	11018	3	3	4.02
* migrant	241909	11018	3	3	4.02
workers crisis	241909	11018	3	3	4.02
januaryâjune #	241909	11018	3	3	4.02
# julyâdecember	241909	11018	3	3	4.02
julyâdecember o	241909	11018	3	3	4.02
+ london	241909	11018	3	3	4.02
london +	241909	11018	3	3	4.02
+ local	241909	11018	3	3	4.02
regulations +	241909	11018	3	3	4.02
first tier	241909	11018	3	3	4.02
tier regulations	241909	11018	3	3	4.02
regulations *	241909	11018	3	3	4.02
emergency procedures	241909	11018	3	3	4.02
is lifted	241909	11018	3	3	4.02
while a	241909	11018	3	3	4.02
school should	241909	11018	3	3	4.02
a code	241909	11018	3	3	4.02
population were	241909	11018	3	3	4.02
known use	241909	11018	3	3	4.02
for confinement"	241909	11018	3	3	4.02
"for a	241909	11018	3	3	4.02
billion indians	241909	11018	3	3	4.02
not prevented	241909	11018	3	3	4.02
prevented tragedy"	241909	11018	3	3	4.02
after receiving	241909	11018	3	3	4.02
was started	241909	11018	3	3	4.02
in buenos	241909	11018	3	3	4.02
australia s	241909	11018	3	3	4.02
"victoria to	241909	11018	3	3	4.02
enters covid	241909	11018	3	3	4.02
^i "victoria	241909	11018	3	3	4.02
some restrictions	241909	11018	3	3	4.02
^ "mildura	241909	11018	3	3	4.02
as regional	241909	11018	3	3	4.02
enter three	241909	11018	3	3	4.02
may 15"	241909	11018	3	3	4.02
"austria to	241909	11018	3	3	4.02
covid surges"	241909	11018	3	3	4.02
^ "greece	241909	11018	3	3	4.02
from friday"	241909	11018	3	3	4.02
^ "muscat	241909	11018	3	3	4.02
^ "moscow	241909	11018	3	3	4.02
first national	241909	11018	3	3	4.02
first entered	241909	11018	3	3	4.02
been avoided	241909	11018	3	3	4.02
reduced by	241909	11018	3	3	4.02
periods are	241909	11018	3	3	4.02
learnings from	241909	11018	3	3	4.02
6% respectively	241909	11018	3	3	4.02
the 25^th	241909	11018	3	3	4.02
25th marchâ30th	241909	11018	3	3	4.02
marchâ30th april	241909	11018	3	3	4.02
period over	241909	11018	3	3	4.02
period 01	241909	11018	3	3	4.02
01 marchâ20	241909	11018	3	3	4.02
marchâ20 march	241909	11018	3	3	4.02
5 during	241909	11018	3	3	4.02
+ respondus	241909	11018	3	3	4.02
test bank	241909	11018	3	3	4.02
bank network	241909	11018	3	3	4.02
browser *	241909	11018	3	3	4.02
* studymate	241909	11018	3	3	4.02
campus *	241909	11018	3	3	4.02
4 *	241909	11018	3	3	4.02
seamlessly with	241909	11018	3	3	4.02
at your	241909	11018	3	3	4.02
your institution	241909	11018	3	3	4.02
noun lockÂ·âdown	241909	11018	3	3	4.02
lockÂ·âdown ËlÃ¤k	241909	11018	3	3	4.02
ËlÃ¤k ËdauÌn	241909	11018	3	3	4.02
ËdauÌn how	241909	11018	3	3	4.02
to pronounce	241909	11018	3	3	4.02
2020 ^	241909	11018	18	6	4.02
impact of	241909	11018	74	12	4.01
million people	241909	11018	26	7	3.96
was extended	241909	11018	7	4	3.88
a strict	241909	11018	7	4	3.88
period in	241909	11018	7	4	3.88
so[2] and	241909	11018	7	4	3.88
ratnapark and	241909	11018	7	4	3.88
kavre dhulikhel	241909	11018	7	4	3.88
^e ^f	241909	11018	19	6	3.88
billion people	241909	11018	13	5	3.76
a week	241909	11018	13	5	3.76
what is	241909	11018	29	7	3.64
place in	241909	11018	8	4	3.60
extended for	241909	11018	8	4	3.60
co over	241909	11018	8	4	3.60
little green	241909	11018	14	5	3.59
term mean	241909	11018	14	5	3.59
statistics *	241909	11018	22	6	3.50
+ first	241909	11018	4	3	3.44
every school	241909	11018	4	3	3.44
procedure in	241909	11018	4	3	3.44
to call	241909	11018	4	3	3.44
system in	241909	11018	4	3	3.44
key benefits	241909	11018	4	3	3.44
example a	241909	11018	4	3	3.44
first known	241909	11018	4	3	3.44
a billion	241909	11018	4	3	3.44
people worldwide	241909	11018	4	3	3.44
worldwide were	241909	11018	4	3	3.44
of victoria	241909	11018	4	3	3.44
have ended	241909	11018	4	3	3.44
home during	241909	11018	4	3	3.44
day covid	241909	11018	4	3	3.44
21 day	241909	11018	4	3	3.44
cases rise	241909	11018	4	3	3.44
imposed in	241909	11018	4	3	3.44
ordered a	241909	11018	4	3	3.44
regional air	241909	11018	4	3	3.44
mitigation potential	241909	11018	4	3	3.44
for south	241909	11018	4	3	3.44
using satellite	241909	11018	4	3	3.44
asia domain	241909	11018	4	3	3.44
of pre	241909	11018	4	3	3.44
for 2020	241909	11018	4	3	3.44
table 4	241909	11018	4	3	3.44
comparison to	241909	11018	4	3	3.44
solutions for	241909	11018	4	3	3.44
for higher	241909	11018	4	3	3.44
annual licensing	241909	11018	4	3	3.44
prisoners to	241909	11018	4	3	3.44
covid cases	241909	11018	15	5	3.43
over sa	241909	11018	15	5	3.43
to go	241909	11018	23	6	3.39
long term	241909	11018	63	10	3.38
to slow	241909	11018	9	4	3.37
a temporary	241909	11018	9	4	3.37
population is	241909	11018	9	4	3.37
were in	241909	11018	9	4	3.37
two weeks	241909	11018	9	4	3.37
as for	241909	11018	9	4	3.37
can be	241909	11018	75	11	3.36
time to	241909	11018	16	5	3.29
half of	241909	11018	24	6	3.29
from covid	241909	11018	24	6	3.29
^d ^e	241909	11018	24	6	3.29
northern ireland	241909	11018	10	4	3.17
march to	241909	11018	10	4	3.17
in this	241909	11018	45	8	3.15
in march	241909	11018	26	6	3.09
immediate threat	241909	11018	5	3	3.07
a hard	241909	11018	5	3	3.07
7 billion	241909	11018	5	3	3.07
by two	241909	11018	5	3	3.07
to ease	241909	11018	5	3	3.07
^ "spain	241909	11018	5	3	3.07
implemented a	241909	11018	5	3	3.07
a nationwide	241909	11018	5	3	3.07
on regional	241909	11018	5	3	3.07
quality and	241909	11018	5	3	3.07
on aq	241909	11018	5	3	3.07
in aq	241909	11018	5	3	3.07
no2 and	241909	11018	5	3	3.07
in comparison	241909	11018	5	3	3.07
the usa	241909	11018	5	3	3.07
mean aod	241909	11018	5	3	3.07
at kathmandu	241909	11018	5	3	3.07
<div>_____________________________________________________ <div>_____________________________________________________	241909	11018	5	3	3.07
the school	241909	11018	36	7	3.06
associated with	241909	11018	36	7	3.06
19 cases	241909	11018	27	6	3.00
designed to	241909	11018	11	4	2.99
event of	241909	11018	11	4	2.99
coronavirus cases	241909	11018	11	4	2.99
country to	241909	11018	11	4	2.99
could have	241909	11018	11	4	2.99
reduction of	241909	11018	11	4	2.99
in aod	241909	11018	19	5	2.93
the impact	241909	11018	38	7	2.92
and a	241909	11018	74	10	2.86
should have	241909	11018	12	4	2.83
boris johnson	241909	11018	12	4	2.83
macau *	241909	11018	6	3	2.78
* mongolia	241909	11018	6	3	2.78
taiwan +	241909	11018	6	3	2.78
respirator diplomacy	241909	11018	6	3	2.78
remain in	241909	11018	6	3	2.78
staff to	241909	11018	6	3	2.78
code red	241909	11018	6	3	2.78
stage 3	241909	11018	6	3	2.78
on children	241909	11018	6	3	2.78
after covid	241909	11018	6	3	2.78
unrest +	241909	11018	6	3	2.78
their long	241909	11018	6	3	2.78
their cells	241909	11018	6	3	2.78
see all	241909	11018	6	3	2.78
mainland china	241909	11018	13	4	2.69
students and	241909	11018	13	4	2.69
plan for	241909	11018	13	4	2.69
over india	241909	11018	13	4	2.69
during covid	241909	11018	13	4	2.69
the word	241909	11018	13	4	2.69
ÑÑÑÑÐºÐ¸Ð¹ æ¥æ¬èª	241909	11018	2	2	2.68
__________________________________________________________________ related	241909	11018	2	2	2.68
basic emergency	241909	11018	2	2	2.68
and intruder	241909	11018	2	2	2.68
why should	241909	11018	2	2	2.68
does ofsted	241909	11018	2	2	2.68
ofsted say	241909	11018	2	2	2.68
say about	241909	11018	2	2	2.68
procedure *	241909	11018	2	2	2.68
why a	241909	11018	2	2	2.68
system should	241909	11018	2	2	2.68
is similar	241909	11018	2	2	2.68
a dedicated	241909	11018	2	2	2.68
the pa	241909	11018	2	2	2.68
place is	241909	11018	2	2	2.68
threat inside	241909	11018	2	2	2.68
threats students	241909	11018	2	2	2.68
often associated	241909	11018	2	2	2.68
hospitals clinics	241909	11018	2	2	2.68
be activated	241909	11018	2	2	2.68
emergency notifications	241909	11018	2	2	2.68
integrate with	241909	11018	2	2	2.68
42 languages	241909	11018	2	2	2.68
was implemented	241909	11018	2	2	2.68
april around	241909	11018	2	2	2.68
around 300	241909	11018	2	2	2.68
around 200	241909	11018	2	2	2.68
200 million	241909	11018	2	2	2.68
started on	241909	11018	2	2	2.68
the september	241909	11018	2	2	2.68
september 11	241909	11018	2	2	2.68
in 1973	241909	11018	2	2	2.68
went into	241909	11018	2	2	2.68
"what share	241909	11018	2	2	2.68
already on	241909	11018	2	2	2.68
emergency or	241909	11018	2	2	2.68
situation where	241909	11018	2	2	2.68
hospital was	241909	11018	2	2	2.68
receiving victims	241909	11018	2	2	2.68
shooting at	241909	11018	2	2	2.68
at marjory	241909	11018	2	2	2.68
lifted at	241909	11018	2	2	2.68
* mass	241909	11018	2	2	2.68
19 strategies	241909	11018	2	2	2.68
a donation	241909	11018	2	2	2.68
which increased	241909	11018	2	2	2.68
2020 more	241909	11018	2	2	2.68
250 million	241909	11018	2	2	2.68
across europe	241909	11018	2	2	2.68
orders nationwide	241909	11018	2	2	2.68
the partial	241909	11018	2	2	2.68
an anti	241909	11018	2	2	2.68
the ohio	241909	11018	2	2	2.68
ohio statehouse	241909	11018	2	2	2.68
some sources	241909	11018	2	2	2.68
in metro	241909	11018	2	2	2.68
lifted between	241909	11018	2	2	2.68
between march	241909	11018	2	2	2.68
and june	241909	11018	2	2	2.68
this fits	241909	11018	2	2	2.68
fits the	241909	11018	2	2	2.68
most internationally	241909	11018	2	2	2.68
internationally accepted	241909	11018	2	2	2.68
accepted definition	241909	11018	2	2	2.68
what constitutes	241909	11018	2	2	2.68
constitutes a	241909	11018	2	2	2.68
aires argentina	241909	11018	2	2	2.68
a counterfactual	241909	11018	2	2	2.68
^ "albania	241909	11018	2	2	2.68
1 /update	241909	11018	2	2	2.68
/update 7"	241909	11018	2	2	2.68
two weeks"	241909	11018	2	2	2.68
"regional victoria	241909	11018	2	2	2.68
enter five	241909	11018	2	2	2.68
"mildura enters	241909	11018	2	2	2.68
regional victorian	241909	11018	2	2	2.68
victorian regions	241909	11018	2	2	2.68
of shepparton	241909	11018	2	2	2.68
shepparton and	241909	11018	2	2	2.68
and moorabool	241909	11018	2	2	2.68
moorabool exit"	241909	11018	2	2	2.68
^ "ballarat	241909	11018	2	2	2.68
"ballarat to	241909	11018	2	2	2.68
records four	241909	11018	2	2	2.68
^ "latrobe	241909	11018	2	2	2.68
"latrobe valley	241909	11018	2	2	2.68
from midnight"	241909	11018	2	2	2.68
^ south	241909	11018	2	2	2.68
end covid	241909	11018	2	2	2.68
enters three	241909	11018	2	2	2.68
hotel quarantine	241909	11018	2	2	2.68
