token	corpus size	all contexts size	frequency	co-frequency	specificity
pendant	28363	3375	54	42	28.04
le	28363	3375	619	164	23.27
périodes	28363	3375	28	25	19.79
durant	28363	3375	16	15	12.73
pénible	28363	3375	22	14	7.89
19	28363	3375	104	31	6.25
premier	28363	3375	22	12	5.84
covid	28363	3375	88	27	5.81
selon	28363	3375	30	14	5.67
sortie	28363	3375	8	7	5.63
lié	28363	3375	8	7	5.63
pandémie	28363	3375	47	18	5.59
perception	28363	3375	12	8	4.92
du	28363	3375	242	51	4.77
abandon	28363	3375	16	9	4.65
jugent	28363	3375	5	5	4.62
liés	28363	3375	20	10	4.53
a	28363	3375	128	31	4.32
extrait	28363	3375	6	5	3.90
vécu	28363	3375	6	5	3.90
vie	28363	3375	61	18	3.90
alors	28363	3375	16	8	3.73
inégalités	28363	3375	13	7	3.57
période	28363	3375	25	10	3.56
2020	28363	3375	91	22	3.30
est	28363	3375	189	37	3.13
au	28363	3375	131	28	3.11
déclaré	28363	3375	8	5	3.04
sentiment	28363	3375	25	9	2.89
code]	28363	3375	25	9	2.89
pas	28363	3375	87	20	2.81
laisse	28363	3375	3	3	2.77
amené	28363	3375	3	3	2.77
suivi	28363	3375	9	5	2.74
mars	28363	3375	48	13	2.66
de	28363	3375	1323	183	2.52
financière	28363	3375	14	6	2.51
permanent	28363	3375	10	5	2.50
récurrent	28363	3375	10	5	2.50
total	28363	3375	10	5	2.50
difficultés	28363	3375	10	5	2.50
dégradée	28363	3375	10	5	2.50
les	28363	3375	584	88	2.49
niveau	28363	3375	45	12	2.45
18	28363	3375	34	10	2.45
français	28363	3375	29	9	2.42
espagne	28363	3375	15	6	2.34
italie	28363	3375	15	6	2.34
emmanuel	28363	3375	7	4	2.32
[modifier	28363	3375	25	8	2.30
16	28363	3375	20	7	2.30
modifier	28363	3375	31	9	2.23
grâce	28363	3375	4	3	2.23
sentis	28363	3375	4	3	2.23
ont	28363	3375	128	24	2.13
section	28363	3375	12	5	2.11
macron	28363	3375	8	4	2.07
québec	28363	3375	8	4	2.07
7	28363	3375	18	6	1.94
été	28363	3375	60	13	1.89
utile	28363	3375	5	3	1.88
objectif	28363	3375	5	3	1.88
solution	28363	3375	5	3	1.88
distance	28363	3375	5	3	1.88
graphiquefigure	28363	3375	5	3	1.88
chronique	28363	3375	5	3	1.88
certains	28363	3375	9	4	1.87
impatience	28363	3375	2	2	1.85
monte	28363	3375	2	2	1.85
prolonge	28363	3375	2	2	1.85
commencent	28363	3375	2	2	1.85
commençons	28363	3375	2	2	1.85
oui	28363	3375	2	2	1.85
adapter	28363	3375	2	2	1.85
perdues	28363	3375	2	2	1.85
utilisé	28363	3375	2	2	1.85
seule	28363	3375	2	2	1.85
reprise	28363	3375	2	2	1.85
connexes	28363	3375	2	2	1.85
basculer	28363	3375	2	2	1.85
langues	28363	3375	2	2	1.85
potentiellement	28363	3375	2	2	1.85
gayet	28363	3375	2	2	1.85
accentue	28363	3375	2	2	1.85
soir	28363	3375	2	2	1.85
violences	28363	3375	2	2	1.85
vingt	28363	3375	2	2	1.85
administrées	28363	3375	2	2	1.85
propice	28363	3375	2	2	1.85
interrogation	28363	3375	2	2	1.85
rétrospective	28363	3375	2	2	1.85
pratiquement	28363	3375	2	2	1.85
impacté	28363	3375	2	2	1.85
eu	28363	3375	20	6	1.73
mot	28363	3375	10	4	1.71
semaine	28363	3375	10	4	1.71
avril	28363	3375	26	7	1.70
à	28363	3375	472	66	1.68
tableaufigure	28363	3375	6	3	1.64
caption	28363	3375	6	3	1.64
44	28363	3375	6	3	1.64
aime	28363	3375	6	3	1.64
annoncée	28363	3375	6	3	1.64
dernier	28363	3375	6	3	1.64
échelle	28363	3375	6	3	1.64
j	28363	3375	11	4	1.56
effets	28363	3375	11	4	1.56
quel	28363	3375	11	4	1.56
comportements	28363	3375	11	4	1.56
11	28363	3375	22	6	1.55
conditions	28363	3375	22	6	1.55
voire	28363	3375	7	3	1.45
lecture	28363	3375	7	3	1.45
travers	28363	3375	7	3	1.45
générale	28363	3375	7	3	1.45
habitudes	28363	3375	7	3	1.45
paru	28363	3375	7	3	1.45
physique	28363	3375	12	4	1.44
scolaire	28363	3375	12	4	1.44
rappeler	28363	3375	3	2	1.43
demande	28363	3375	3	2	1.43
réduction	28363	3375	3	2	1.43
abandonnées	28363	3375	3	2	1.43
décidé	28363	3375	3	2	1.43
décidée	28363	3375	3	2	1.43
matières	28363	3375	3	2	1.43
jpg]	28363	3375	3	2	1.43
domicile	28363	3375	3	2	1.43
désigne	28363	3375	3	2	1.43
