 id 	 url 	 gestion de robots.txt 	 code http 	 encodage initial de la page 	 lien vers la page brute 	 lien vers le dump textuel 	 nombre total de mots dans le dump 	 nombre d'occurrences du mot cible dans le dump
1	<a href=https://en.wikipedia.org/wiki/Lockdown>https://en.wikipedia.org/wiki/Lockdown</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-1.html>Lien page brute</a>	<a href=../dumps-text/en/en-1.txt>Lien dump</a>	    3126	      77
2	<a href=https://en.wikipedia.org/wiki/COVID-19_lockdowns>https://en.wikipedia.org/wiki/COVID-19_lockdowns</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-2.html>Lien page brute</a>	<a href=../dumps-text/en/en-2.txt>Lien dump</a>	   25608	     390
3	https://pmc.ncbi.nlm.nih.gov/articles/PMC10454957/	Allow	403					
4	<a href=https://www.gavi.org/vaccineswork/did-covid-lockdowns-work-heres-what-we-know-two-years>https://www.gavi.org/vaccineswork/did-covid-lockdowns-work-heres-what-we-know-two-years</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-4.html>Lien page brute</a>	<a href=../dumps-text/en/en-4.txt>Lien dump</a>	    2051	      31
5	<a href=https://www.imf.org/en/blogs/articles/2020/04/14/blog-weo-the-great-lockdown-worst-economic-downturn-since-the-great-depression>https://www.imf.org/en/blogs/articles/2020/04/14/blog-weo-the-great-lockdown-worst-economic-downturn-since-the-great-depression</a>	Allow	200	utf-8	<a href=../aspirations/en/en-5.html>Lien page brute</a>	<a href=../dumps-text/en/en-5.txt>Lien dump</a>	    1363	       2
6	<a href=https://web.respondus.com/he/lockdownbrowser/>https://web.respondus.com/he/lockdownbrowser/</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-6.html>Lien page brute</a>	<a href=../dumps-text/en/en-6.txt>Lien dump</a>	     694	       1
7	https://dictionary.cambridge.org/fr/dictionnaire/anglais/lockdown	Allow	520					
8	<a href=https://www.merriam-webster.com/dictionary/lockdown>https://www.merriam-webster.com/dictionary/lockdown</a>	Allow	200	utf-8	<a href=../aspirations/en/en-8.html>Lien page brute</a>	<a href=../dumps-text/en/en-8.txt>Lien dump</a>	    1163	      26
9	https://pmc.ncbi.nlm.nih.gov/articles/PMC7293850/	Allow	403					
10	https://www.cdc.gov/museum/timeline/covid19.html	Allow	200					
11	https://pmc.ncbi.nlm.nih.gov/articles/PMC8175628/	Allow	403					
12	<a href=https://www.imf.org/en/blogs/articles/2020/05/12/blog051220-emerging-from-the-great-lockdown-in-asia-and-europe>https://www.imf.org/en/blogs/articles/2020/05/12/blog051220-emerging-from-the-great-lockdown-in-asia-and-europe</a>	Allow	200	utf-8	<a href=../aspirations/en/en-12.html>Lien page brute</a>	<a href=../dumps-text/en/en-12.txt>Lien dump</a>	    1340	       6
13	<a href=https://www.etf.europa.eu/en/publications-and-resources/publications/preventing-lockdown-generation-europe-and-central-asia>https://www.etf.europa.eu/en/publications-and-resources/publications/preventing-lockdown-generation-europe-and-central-asia</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-13.html>Lien page brute</a>	<a href=../dumps-text/en/en-13.txt>Lien dump</a>	     846	       4
14	<a href=https://www.bbc.com/news/world-asia-china-63310524>https://www.bbc.com/news/world-asia-china-63310524</a>	Allow	200	utf-8	<a href=../aspirations/en/en-14.html>Lien page brute</a>	<a href=../dumps-text/en/en-14.txt>Lien dump</a>	    2347	      22
15	<a href=https://ors.od.nih.gov/ser/dem/workplace-emergencies/basic-procedures/Pages/lockdown-procedures.aspx>https://ors.od.nih.gov/ser/dem/workplace-emergencies/basic-procedures/Pages/lockdown-procedures.aspx</a>	Allow	200	utf-8	<a href=../aspirations/en/en-15.html>Lien page brute</a>	<a href=../dumps-text/en/en-15.txt>Lien dump</a>	     553	       1
16	<a href=https://www.littlegreenbutton.com/school-lockdown-procedures/>https://www.littlegreenbutton.com/school-lockdown-procedures/</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-16.html>Lien page brute</a>	<a href=../dumps-text/en/en-16.txt>Lien dump</a>	    2493	      55
17	<a href=https://www.alicetraining.com/blog/what-is-a-soft-lockdown/>https://www.alicetraining.com/blog/what-is-a-soft-lockdown/</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-17.html>Lien page brute</a>	<a href=../dumps-text/en/en-17.txt>Lien dump</a>	    1798	      19
18	<a href=https://digitalprovisions.com/school-lockdown-systems-safety/>https://digitalprovisions.com/school-lockdown-systems-safety/</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-18.html>Lien page brute</a>	<a href=../dumps-text/en/en-18.txt>Lien dump</a>	    1376	      20
19	<a href=https://diabetes.org/advocacy/safe-at-school-state-laws/emergency-lockdown>https://diabetes.org/advocacy/safe-at-school-state-laws/emergency-lockdown</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-19.html>Lien page brute</a>	<a href=../dumps-text/en/en-19.txt>Lien dump</a>	    1741	       9
20	https://txssc.txstate.edu/tools/srp-toolkit/lockdown	Allow	200					
21	https://www.skagitregionalhealth.org/healthquest/blog/blog/2025/07/15/understanding-hospital-lockdowns--what-they-are-and-what-to-expect	Allow	403					
22	<a href=https://www.npr.org/2018/07/13/627455136/hospital-lockdowns-can-leave-patients-loved-ones-locked-out>https://www.npr.org/2018/07/13/627455136/hospital-lockdowns-can-leave-patients-loved-ones-locked-out</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-22.html>Lien page brute</a>	<a href=../dumps-text/en/en-22.txt>Lien dump</a>	    1974	      14
