 id 	 url 	 gestion de robots.txt 	 code http 	 encodage initial de la page 	 lien vers la page brute 	 lien vers le dump textuel 	 nombre total de mots dans le dump 	 nombre d'occurrences du mot cible dans le dump 	 lien vers le concordancier
1	https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000041728476	Allow	403						
2	<a href=https://fr.wikipedia.org/wiki/Confinement_(mesure_sanitaire)>https://fr.wikipedia.org/wiki/Confinement_(mesure_sanitaire)</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-2.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-2.txt>Lien dump</a>	    6544	       0	<a href=../concordances/fr/fr-2-concordances.tsv>Lien Concordancier</a>
3	<a href=https://www.radiofrance.fr/franceculture/podcasts/carnets-de-sante/comment-a-ete-vecu-le-confinement-quelles-ont-ete-les-consequences-materielles-et-sociales-5070477>https://www.radiofrance.fr/franceculture/podcasts/carnets-de-sante/comment-a-ete-vecu-le-confinement-quelles-ont-ete-les-consequences-materielles-et-sociales-5070477</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-3.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-3.txt>Lien dump</a>	    1787	       0	<a href=../concordances/fr/fr-3-concordances.tsv>Lien Concordancier</a>
4	<a href=https://www.inserm.fr/actualite/effets-negatifs-premier-confinement-sur-hygiene-vie-francais/>https://www.inserm.fr/actualite/effets-negatifs-premier-confinement-sur-hygiene-vie-francais/</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-4.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-4.txt>Lien dump</a>	    1511	       0	<a href=../concordances/fr/fr-4-concordances.tsv>Lien Concordancier</a>
5	<a href=https://www.insee.fr/fr/statistiques/4513259>https://www.insee.fr/fr/statistiques/4513259</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-5.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-5.txt>Lien dump</a>	    4166	       0	<a href=../concordances/fr/fr-5-concordances.tsv>Lien Concordancier</a>
6	https://www.vie-publique.fr/en-bref/276947-covid-19-un-2e-confinement-national-compter-du-29-octobre-minuit&ved=2ahUKEwiioqa_zbKRAxU5Q6QEHaLvHxg4HhAWegQIFRAB&usg=AOvVaw1FEVVMzpZvg9iAQFVzg1Ko	Allow	404						
7	https://www.gendarmerie.interieur.gouv.fr/gendinfo/l-info-en-continu/coronavirus-le-confinement-prolonge-jusqu-au-11-mai	Allow	403						
8	<a href=https://actu.orange.fr/france/covid-19-les-habitudes-du-confinement-qui-ont-marque-notre-quotidien-il-y-a-cinq-ans-magic-CNT000002hVeZ5.html>https://actu.orange.fr/france/covid-19-les-habitudes-du-confinement-qui-ont-marque-notre-quotidien-il-y-a-cinq-ans-magic-CNT000002hVeZ5.html</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-8.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-8.txt>Lien dump</a>	     991	       0	<a href=../concordances/fr/fr-8-concordances.tsv>Lien Concordancier</a>
9	https://www.ouest-france.fr/sante/virus/coronavirus/confinement/covid-cinq-ans-apres-quel-souvenir-positif-gardez-vous-du-confinement-racontez-nous-4ce0e17c-ead4-11ef-b9dd-cfcb5f3afe89	Allow	403						
10	<a href=https://presse.inserm.fr/canal-detox/un-confinement-inutile-vraiment/>https://presse.inserm.fr/canal-detox/un-confinement-inutile-vraiment/</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-10.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-10.txt>Lien dump</a>	     956	       0	<a href=../concordances/fr/fr-10-concordances.tsv>Lien Concordancier</a>
11	<a href=https://www.insee.fr/fr/statistiques/6327641>https://www.insee.fr/fr/statistiques/6327641</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-11.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-11.txt>Lien dump</a>	    3775	       0	<a href=../concordances/fr/fr-11-concordances.tsv>Lien Concordancier</a>
12	<a href=https://www.1jour1actu.com/monde/cest-quoi-le-confinement>https://www.1jour1actu.com/monde/cest-quoi-le-confinement</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-12.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-12.txt>Lien dump</a>	    3533	       0	<a href=../concordances/fr/fr-12-concordances.tsv>Lien Concordancier</a>
13	<a href=https://www.pasteur.fr/fr/journal-recherche/actualites/covid-19-chronique-emergence-annoncee-sortie-confinement-ou-somme-tous-dangers>https://www.pasteur.fr/fr/journal-recherche/actualites/covid-19-chronique-emergence-annoncee-sortie-confinement-ou-somme-tous-dangers</a>	Allow	200	utf-8	<a href=../aspirations/fr/fr-13.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-13.txt>Lien dump</a>	    5804	       0	<a href=../concordances/fr/fr-13-concordances.tsv>Lien Concordancier</a>
14	https://unric.org/fr/covid-19-la-belgique-en-confinement-a-partir-du-18-mars/	Allow	403						
